Order ID,Product,Image url,Quantity Ordered,Price Each,Order Date,Purchase Address
295674,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,4,2.99,12/28/2019 11:51,"77 7th St, Dallas, TX 75001"
295678,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/6/2019 9:38,"187 Lincoln St, Dallas, TX 75001"
295684,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,4,2.99,12/4/2019 12:29,"936 Church St, San Francisco, CA 94016"
295706,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,3,2.99,12/12/2019 20:08,"599 Hill St, Los Angeles, CA 90001"
295710,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/26/2019 19:09,"729 Pine St, Atlanta, GA 30301"
295711,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/4/2019 13:43,"489 Johnson St, San Francisco, CA 94016"
295725,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,3,2.99,12/5/2019 15:01,"911 River St, San Francisco, CA 94016"
295734,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/25/2019 12:38,"453 Jackson St, Portland, OR 97035"
295738,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/20/2019 18:19,"829 7th St, Dallas, TX 75001"
295751,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/29/2019 11:03,"922 Hickory St, Los Angeles, CA 90001"
295767,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/21/2019 13:00,"891 7th St, New York City, NY 10001"
295768,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/22/2019 22:36,"98 Johnson St, New York City, NY 10001"
295771,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/23/2019 12:10,"352 Meadow St, San Francisco, CA 94016"
295777,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/9/2019 19:47,"598 14th St, Atlanta, GA 30301"
295799,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/22/2019 8:02,"236 Elm St, Los Angeles, CA 90001"
295800,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/29/2019 10:07,"140 10th St, Atlanta, GA 30301"
295808,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/21/2019 10:45,"961 Jackson St, San Francisco, CA 94016"
295811,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/23/2019 11:59,"792 7th St, New York City, NY 10001"
295858,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/8/2019 0:13,"218 7th St, Dallas, TX 75001"
295862,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/3/2019 14:22,"654 12th St, Portland, ME 04101"
295884,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/28/2019 18:49,"198 Walnut St, San Francisco, CA 94016"
295893,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/25/2019 23:02,"517 13th St, San Francisco, CA 94016"
295895,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/29/2019 0:18,"539 Forest St, San Francisco, CA 94016"
295914,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/13/2019 13:48,"413 Center St, Austin, TX 73301"
295918,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/10/2019 7:01,"92 River St, New York City, NY 10001"
295928,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/25/2019 12:08,"683 Forest St, Boston, MA 02215"
295933,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/16/2019 22:44,"19 Maple St, New York City, NY 10001"
295936,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/23/2019 10:08,"283 Highland St, Seattle, WA 98101"
295943,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,3,2.99,12/4/2019 13:32,"701 Sunset St, Dallas, TX 75001"
295956,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/18/2019 19:17,"793 Adams St, Boston, MA 02215"
295958,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/4/2019 18:36,"485 4th St, Boston, MA 02215"
295959,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/27/2019 20:53,"198 13th St, Atlanta, GA 30301"
295967,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/12/2019 10:09,"283 South St, Los Angeles, CA 90001"
295993,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/21/2019 12:28,"106 Ridge St, New York City, NY 10001"
295998,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/14/2019 10:07,"771 Cedar St, Austin, TX 73301"
296002,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/19/2019 11:08,"543 Chestnut St, San Francisco, CA 94016"
296005,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,2,2.99,12/27/2019 19:39,"503 Highland St, Boston, MA 02215"
296013,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/7/2019 11:08,"369 Park St, Los Angeles, CA 90001"
296014,AAA Batteries (4-pack),https://www.quill.com/is/image/Quill/sp90224431_s7?$img400$,1,2.99,12/15/2019 19:54,"43 8th St, Portland, OR 97035"
